"","Eye","Loc","ID","Side","Angle","IOP"
"1",1,"U",1,"L",-90,45
"2",2,"U",2,"L",-90,35.8
"3",3,"U",3,"L",-90,34.3
"4",4,"U",4,"L",-90,51.5
"5",5,"U",5,"L",-90,35.6
"6",6,"U",6,"L",-90,33.4
"7",7,"U",7,"L",-90,43.6
"8",8,"T",8,"L",-90,30.7
"9",9,"T",9,"L",-90,NA
"10",10,"T",10,"L",-90,36.8
"11",11,"T",11,"L",-90,66.4
"12",12,"T",12,"L",-90,38.3
"13",13,"T",13,"L",-90,44.6
"14",14,"U",1,"R",-90,45.1
"15",15,"U",2,"R",-90,38.4
"16",16,"U",3,"R",-90,31.2
"17",17,"U",4,"R",-90,51.2
"18",18,"U",5,"R",-90,34.3
"19",19,"U",6,"R",-90,35.8
"20",20,"U",7,"R",-90,42.1
"21",21,"T",8,"R",-90,26.3
"22",22,"T",9,"R",-90,22
"23",23,"T",10,"R",-90,34.6
"24",24,"T",11,"R",-90,57.1
"25",25,"T",12,"R",-90,37.9
"26",26,"T",13,"R",-90,45.9
"27",1,"U",1,"L",-75,58
"28",2,"U",2,"L",-75,35
"29",3,"U",3,"L",-75,34.6
"30",4,"U",4,"L",-75,53.8
"31",5,"U",5,"L",-75,29.7
"32",6,"U",6,"L",-75,33.2
"33",7,"U",7,"L",-75,49.9
"34",8,"T",8,"L",-75,25.7
"35",9,"T",9,"L",-75,NA
"36",10,"T",10,"L",-75,40.4
"37",11,"T",11,"L",-75,54
"38",12,"T",12,"L",-75,42
"39",13,"T",13,"L",-75,44.5
"40",14,"U",1,"R",-75,43
"41",15,"U",2,"R",-75,37.6
"42",16,"U",3,"R",-75,31.9
"43",17,"U",4,"R",-75,51.9
"44",18,"U",5,"R",-75,29.6
"45",19,"U",6,"R",-75,34.7
"46",20,"U",7,"R",-75,45.2
"47",21,"T",8,"R",-75,25.3
"48",22,"T",9,"R",-75,25.2
"49",23,"T",10,"R",-75,37.6
"50",24,"T",11,"R",-75,58
"51",25,"T",12,"R",-75,39.7
"52",26,"T",13,"R",-75,42.1
"53",1,"U",1,"L",-60,32
"54",2,"U",2,"L",-60,36.2
"55",3,"U",3,"L",-60,28
"56",4,"U",4,"L",-60,40.2
"57",5,"U",5,"L",-60,30
"58",6,"U",6,"L",-60,31.1
"59",7,"U",7,"L",-60,42
"60",8,"T",8,"L",-60,25
"61",9,"T",9,"L",-60,NA
"62",10,"T",10,"L",-60,32.3
"63",11,"T",11,"L",-60,50.4
"64",12,"T",12,"L",-60,35.83
"65",13,"T",13,"L",-60,39.6
"66",14,"U",1,"R",-60,35
"67",15,"U",2,"R",-60,33.4
"68",16,"U",3,"R",-60,28.1
"69",17,"U",4,"R",-60,39.2
"70",18,"U",5,"R",-60,29.8
"71",19,"U",6,"R",-60,32.3
"72",20,"U",7,"R",-60,41.5
"73",21,"T",8,"R",-60,28.8
"74",22,"T",9,"R",-60,27.8
"75",23,"T",10,"R",-60,34.6
"76",24,"T",11,"R",-60,52.3
"77",25,"T",12,"R",-60,36.5
"78",26,"T",13,"R",-60,32.3
"79",1,"U",1,"L",-45,25
"80",2,"U",2,"L",-45,31.2
"81",3,"U",3,"L",-45,23.1
"82",4,"U",4,"L",-45,34.7
"83",5,"U",5,"L",-45,27.6
"84",6,"U",6,"L",-45,29.5
"85",7,"U",7,"L",-45,35.5
"86",8,"T",8,"L",-45,23.2
"87",9,"T",9,"L",-45,NA
"88",10,"T",10,"L",-45,28.3
"89",11,"T",11,"L",-45,38.3
"90",12,"T",12,"L",-45,31.6
"91",13,"T",13,"L",-45,30.5
"92",14,"U",1,"R",-45,29.7
"93",15,"U",2,"R",-45,32.7
"94",16,"U",3,"R",-45,24.9
"95",17,"U",4,"R",-45,37.7
"96",18,"U",5,"R",-45,28.5
"97",19,"U",6,"R",-45,31.2
"98",20,"U",7,"R",-45,38.9
"99",21,"T",8,"R",-45,23.4
"100",22,"T",9,"R",-45,21.8
"101",23,"T",10,"R",-45,31.1
"102",24,"T",11,"R",-45,36.1
"103",25,"T",12,"R",-45,29.5
"104",26,"T",13,"R",-45,38.5
"105",1,"U",1,"L",-30,28
"106",2,"U",2,"L",-30,28.2
"107",3,"U",3,"L",-30,24.3
"108",4,"U",4,"L",-30,32
"109",5,"U",5,"L",-30,22.7
"110",6,"U",6,"L",-30,23.8
"111",7,"U",7,"L",-30,24.9
"112",8,"T",8,"L",-30,17.4
"113",9,"T",9,"L",-30,NA
"114",10,"T",10,"L",-30,26.9
"115",11,"T",11,"L",-30,26.9
"116",12,"T",12,"L",-30,26.7
"117",13,"T",13,"L",-30,29
"118",14,"U",1,"R",-30,25
"119",15,"U",2,"R",-30,27.2
"120",16,"U",3,"R",-30,21
"121",17,"U",4,"R",-30,32.3
"122",18,"U",5,"R",-30,26.5
"123",19,"U",6,"R",-30,24.1
"124",20,"U",7,"R",-30,21.2
"125",21,"T",8,"R",-30,18.9
"126",22,"T",9,"R",-30,16
"127",23,"T",10,"R",-30,22.7
"128",24,"T",11,"R",-30,28.5
"129",25,"T",12,"R",-30,26.42
"130",26,"T",13,"R",-30,23.3
"131",1,"U",1,"L",-15,24.1
"132",2,"U",2,"L",-15,24.7
"133",3,"U",3,"L",-15,19.8
"134",4,"U",4,"L",-15,21.5
"135",5,"U",5,"L",-15,20
"136",6,"U",6,"L",-15,22.1
"137",7,"U",7,"L",-15,22.6
"138",8,"T",8,"L",-15,14.6
"139",9,"T",9,"L",-15,NA
"140",10,"T",10,"L",-15,23.9
"141",11,"T",11,"L",-15,22.6
"142",12,"T",12,"L",-15,19.8
"143",13,"T",13,"L",-15,22.7
"144",14,"U",1,"R",-15,21.1
"145",15,"U",2,"R",-15,23.9
